GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.springproject.demo.rest,StudentRestController,57,6,4,0,15,3,7,1,5,1
demo,com.springproject.demo.rest,BookRestController,57,6,4,0,15,3,7,1,5,1
demo,com.springproject.demo,DemoApplication,5,3,0,0,2,1,1,1,1,1
demo,com.springproject.demo.service,StudentServiceImpl,6,42,1,1,1,13,1,5,0,5
demo,com.springproject.demo.service,BookServiceImpl,6,42,1,1,1,13,1,5,0,5
demo,com.springproject.demo.entity,Student,197,27,39,1,5,9,31,5,11,5
demo,com.springproject.demo.entity,Book,135,21,25,1,7,6,21,5,8,5
demo,com.springproject.demo.controller,StudentController,86,6,2,0,24,3,6,1,5,1
demo,com.springproject.demo.controller,BookController,93,6,2,0,25,3,6,1,5,1
demo,com.springproject.demo.controller,LoginController,8,3,0,0,4,1,4,1,4,1
demo,com.springproject.demo.config,SecurityConfig,0,66,0,0,0,17,0,4,0,4
demo,com.springproject.demo.config,CustomAccessDeniedHandler,18,7,2,0,6,2,2,2,1,2
